,"39.300,00",Foco Black,Actualizando,Detenido,Evento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUALIZANDO,PAZ CORP,Seminario 850,Ñuñoa,Seminario 850,Inmediata,,A+,"4,00%","2,00%","3% a la promesa, 1% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 4% a la escritura)",SI,"5,00%","0,00%","0,00%","0,00%",0,0,"0,00%",0,"0,00%",36,"15,00%",UF3.290,$0,$0,$538.738,$100.000,N/A,SI,"5% bono pie
Hasta 20% en 36 cuotas Getnet

Estacionamiento:
Studio No 
1D1B No
2D2B Obligatorio

Bodega
Studio NO
1D1B Obligatoria
2D2B Obligatorio

(Descuento máximo al ir sin bono pie es de 7%dcto)","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [370 - 550],UF [70 - 80],NO,NO
ACTUALIZANDO,PAZ CORP,Zorzal,Estación Central,María Rozas Velasquez 41,Inmediata,,A+,"5,00%","2,50%","4% a la promesa, 1% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 5% a la escritura)",NO,"20,00%","5,00%","1,00%","0,00%",0,0,"0,00%",0,"0,00%",36,"5,00%",UF2.055,$0,$0,$112.169,$100.000,"1% adicional a la escritura, promesado entre el 01/09 al 16/09 y escriturado antes del 31/10
",SI,"Upfront 1% para unidades aplazadas.
Bono pie:
15%
Hasta 20% algunas unidades


Arriendo garantizado (2 años)
(Todas las unidades pueden llevar arriendo garantizado.
Excepto las que tienen 20% bono pie que no tengan ""Flujo de renta en modelo"")

Estudio: $350,000
1D+1B: $400,000
2D+1B: $500,000
2D+2B: No Aplica
E: $40.000
B: $10.000

Unidades aplazadas, sin arriendo garantizado
__________________________________________


Estacionamiento
Studio No aplica
1D1B y 2D1B Opcional
2D2B Obligatorio

Bodega
Studio, 1D1B y 2D1B Opcional
2D2B Obligatoria

(Para unidades que tengan 15% bono pie tienen un descuento máximo de 20%dcto)

Que son unidades aplazadas? deptos a eleccion del cliente que puede escriturar en 12 meses mas. ","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [380 - 448],YF [50 - 85],NO,SI
DETENIDO,PY,ROZAS 677,CONCEPCIÓN,Juan Martínez de Rozas 677,2S2025,,B,"3,00%","1,50%",N/A,,"0,00%","15,00%","3,00%","0,00%",17,0,"0,00%",17,"7,00%",24,"10,00%",UF2.455,$0,$397.277,$402.006,$100.000,N/A,NO,"3% Upfront
7% con promoción de 17 dividendos gratis para el pie
hasta 10% en 24 con TC sin interes (Se puede utilizar mas de una tarjeta)

Arriendo garantizado por 2 años
-
Estacionamiento
2D Estacionamiento obligatorio y bodega opcional
1D Sin estacionamiento y sin Bodega
","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [250 - 385] Pocas unidades,UF [60 - 85] Pocas unidades,N/A,SI
OK,RVC,Alto Marañon III,Viña del Mar,"Sendero Norte 50, Viña del Mar",Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.932,$0,$192.017,$0,$100.000,N/A,NO,"
Beneficios no acumulables: GOP gratis ó 6 dividendos gratis;

Beneficios no acumulables entre si: CDI 60 (Crédito directo inmobiliaria) o 60 cuotas knockit / 36 GETNET","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [330 - 360],UF [75 - 110],N/A,NO
DETENIDO,RVC,Alto Mirador,Valparaiso,"Navío San Martin 315, Cerro San Roque",Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,                                                                        ,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.894,$0,$189.557,$0,$100.000,N/A,NO,"Beneficios no acumulables: GOP gratis

CDI 60 (Crédito directo inmobiliaria) / 36 GETNET o promoción el arriendo es tu pie Knockit

","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [350 - 370],"UF [74,4 - 107,42] Pocas unidades",N/A,NO
OK,RVC,Blanca y Estela I,Concón,Blanca Estela 2239,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"5,00%",0,"0,00%",UF5.290,$0,$173.248,$0,$100.000,N/A,NO,"Beneficios no acumulables: GOP gratis (Solo torre B) o 6 dividendos gratis (solo torre B)

CDI (Tope de 5%) 60 (Crédito directo inmobiliaria) / 36 GETNET o promoción el arriendo es tu pie Knockit

Estacionamiento y bodega obligatorio","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [330 - 405],UF [66 - 92],N/A,NO
DETENIDO,RVC,Briones Luco,La Cisterna,Briones Luco 077,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,                                 ,"10,00%","10,00%","10,00%",62,2,"10,00%",60,"10,00%",0,"0,00%",UF2.250,$4.421.545,$147.385,$0,$100.000,N/A,NO,"Beneficios no acumulables entre si: 6 dividendos gratis o 24 Dividendos (si va con 24 dividendos no puede ir con descuento) o Arriendo asegurado 48 meses

Beneficios no acumulables entre si: Credito directo 60 cuotas o Knockit



CDI 60 (Crédito directo inmobiliaria) / 36 GETNET o promoción el arriendo es tu pie Knockit

Si va con poromocion de 24 dividendos, el CDI maximo es de 24 cuotas

Estacionamiento desde: 2D2B
Bodega desde: 2D1B

Deptos 201, 210, 213 Y 214 van con anexo 60 días

1D/1B/CK/2C $270.000
2D/1B/CK/3C $320.000
2D/2B/CK/4C $380.000
3D/1B/CK/5C $400.000
Estacionamiento: $30.000
Bodega: $10.000","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [280 - 340],UF [60 - 90],N/A,SI
DETENIDO,RVC,Castillo Urizar,Ñuñoa,Castillo urizar 1845,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%","UF 4.720,00

",$0,$0,$0,$100.000,N/A,NO,"Beneficios no acumulables entre si: 24 dividendos (si va con 24 dividendos no puede ir con descuento)  o Arriendo garantizado 48 meses

Acumulable con otras promociones pero no estre si: Credito directo 60 cuotas o Knockit 60 cuotas
(Si va con 24 dividendos el CDI es maximo de 24)

Bodega y estacionamiento: Obligatorio","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 350 Pocas unidades,UF 85-100 Pocas unidades,,
OK,RVC,Condominio Parque del Sur torre A,La Cisterna,Avenida Lo Espejo 0101,2S2025,,B,"3,00%","1,50%",N/A,,"0,00%","10,00%","0,00%","10,00%",65,5,"10,00%",60,"10,00%",0,"0,00%","UF 2.173,13

",$0,$0,$0,$10.000,N/A,NO,"Beneficios no acumulables:6 dividendos, 24 dividendos gratis (si va con 24 dividendos no puede ir con descuento),o arriendo asegurado 48 meses

60 cuotas con credito directo o
Knockit (se puede presentar al cliente como el pago de las 60 cuotas)
(Si va con 24 dividendos el CDI es maximo de 24)

1D/1B/CK/2C $270.000
2D/1B/CK/3C $320.000
2D/2B/CK/4C $370.000
3D/1B/CK/5C $410.000
Estacionamiento $30.000
Bodega $10.000

Estacionamiento: desde 2D2B
Bodega: Desde 2D1B
Deptos 202, 203, 207, 208 y 209 va con anexo 60 días","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ","UF 335-345,23",UF 70-90,NO,SI
OK,RVC,Coronel Souper,Estación Central,Coronel Souper 4438,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF1.920,$0,$125.760,$0,$100.000,N/A,NO,"CDI 60 (Crédito directo inmobiliaria) / 36 GETNET o promoción el arriendo es tu pie Knockit

Si va con poromocion de 24 dividendos, el CDI maximo es de 24 cuotas

","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No queda stock,No queda stock,N/A,NO
OK,RVC,Guillermo Mann,Ñuñoa,Guillermo Mann 1751,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.757,$0,$180.551,$0,$100.000,N/A,NO,"Beneficios no acumulables:  6 dividendos gratis, arriendo asegurado (48 meses)

CDI 60 (Crédito directo inmobiliaria) / 36 GETNET o promoción el arriendo es tu pie Knockit
(si va con 24 dividendos el CDI maximo es de 24 cuotas)

Bodega obligatoria para todas las unidades
Estacionamiento obligatorio

1D/1B/CK/2C $370.000
2D/1B/CK/3C $440.000
2D/2B/CK/4C $480.000
Estacionamiento: $40.000
Bodega $15.000

Deptos 302, 304, 306, 308 y 311 van con anexo 60 días","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [330 - 370],UF 80,N/A,SI
OK,RVC,Jorge Cáceres 2,La Cisterna,Jorge Cáceres 503,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","8,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.250,$0,$147.375,$0,$100.000,N/A,NO,"CDI 60 (Crédito directo inmobiliaria) / 36 GETNET o promoción el arriendo es tu pie Knockit.
(si va con 24 dividendos el CDI maximo es de 24 cuotas)

Depto 903 va con anexo 60 días
Depto 904 se vende amoblado y anexo 60 días

Estacionamiento y bodega obligatorio","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 310-320 Pocas unidades,UF 70 Pocas unidades,N/A,NO
DETENIDO,RVC,Latorre,Iquique,Latorre,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.358,$0,$154.473,$0,$100.000,N/A,NO,"Beneficios acumulables entre si: GOP gratis o 6 dividendos gratis.

Beneficios Credito dirécto 60 cuotas

2D1B sin estacionamiento","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [280 - 380],UF [67 - 90],NO,NO
DETENIDO,RVC,León Prado,San Miguel,Departamental 690,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",No queda stock,$0,$0,$0,$100.000,N/A,NO,"Beneficios: Reserva sin riesgo

Beneficios no acumulables entre si:  24 dividendos (si va con 24 dividendos no puede ir con descuento) Arriendo garantizado 48 meses

Acumulable con otras promociones pero no estre si: Credito directo 60 cuotas o Knockit 60 cuotas

Estacionamiento Obligatorio","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No queda stock,No queda stock,,
OK,RVC,Lia Aguirre,La Florida,Lía Aguirre 155,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","10,00%",48,0,"0,00%",48,"10,00%",0,"0,00%",UF3.146,$0,$257.579,$0,$100.000,N/A,NO,"Beneficios y condiciones: Reserva sin riesgos.

Beneficios no acumulables: 6 dividendos, arriendo asegurado 48 meses

CDI 60 (Crédito directo inmobiliaria) / 36 GETNET o promoción el arriendo es tu pie Knockit.
(si va con 24 dividendos el CDI maximo es de 24 cuotas)

Deptos 209, 210, 211, 305, 803, 811 y 812 van con anexo 60 días

1D/1B/CK/2C $320.000
2D/1B/CK/3C $360.000
2D/2B/CK/4C $400.000
2D/2B/CK/4C/M $410.000
Estacionamiento: $30.000
Bodega: $10.000

Estacionamiento Obligatorio
Bodega Obligatoria","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 350,UF 60,NO,SI
DETENIDO,RVC,Libertad,Iquique,"Libertad 1310, Iquique",2S2025,,B,"3,00%","1,50%",N/A,,"0,00%","10,00%","10,00%","10,00%",7,7,"10,00%",0,"0,00%",0,"0,00%",,$0,$0,$0,$100.000,N/A,NO,"Beneficios: Reserva sin riesgo, seguro de cesantía, plan pago flexible

Estacionamiento 1D1B no opta","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 400,UF  [60 - 90],NO,
DETENIDO,RVC,Lynch,Iquique,Sotomayor 415,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF1.990,$0,$130.345,$0,$100.000,N/A,NO,"Beneficios no acumulables: GOP gratis o 6 dividendos gratis (Excepto 1D1B)

CDI 60 (Crédito directo inmobiliaria) / 36 GETNET

Estacionamiento:
1D1B NO disponible
2D2B Obligatorio

Bodega:
2D2B Obligatorio","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [275 - 400],UF 80,NO,NO
DETENIDO,RVC,Manuel jesus rivera 2,Coquimbo,"Manuel Jesús Rivera 100, Iquique",2S2026,,B,"3,00%","1,50%",N/A,,"0,00%","20,00%","0,00%","10,00%",19,19,"10,00%",0,"0,00%",36,"10,00%",,$0,$0,$0,$100.000,N/A,NO,"Beneficios: Reserva sin riesgos, seguro de cesantía, plan de pago flexible y arriendo asegurado

10% en 19 cuotas antes de entrega
10% en 36 cuotas getnet

Estacionamiento: Solo para 3D1B

Bodega: Opcional



","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [350 - 370],UF [80 - 140],NO,
DETENIDO,RVC,Parque Marañon Torre A,Viña del mar,Altos de viña 235,1S2026,,B,"3,00%","1,50%",N/A,,"0,00%","10,00%","0,00%","10,00%",73,13,"10,00%",60,"10,00%",0,"0,00%",UF3.046,$920.829,$199.513,$0,$100.000,N/A,NO,"Beneficios acumulables entre si: Seguro de cesantía

Beneficio Knockit (Se puede presentar al cliente como pago de las 60 cuotas)

Estacionamiento: Obligatorio

Bodega: Obligatorio



","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF 322,UF [50 - 104],NO,
OK,RVC,Pedro de la barra,Santiago,Pedro de la barra 1732,2S2026,,B,"3,00%","1,50%",N/A,,"0,00%","10,00%","0,00%","10,00%",74,14,"10,00%",60,"10,00%",0,"0,00%",UF2.720,$763.543,$178.160,$0,$100.000,,NO,"Crédito dirécto 60 cuotas o Knockit (se puede presentar al cliente como el pago de las 60 cuotas)

1D/1B/Ci/2C $320.000
2D/1B/CK/3C $365.000
2D/2B/CI/4C $410.000
2D/2B/CI/4C/M $440.000
Estacionamiento: $30.000
Bodega: $10.000

Estacionamiento y bodegas para 2D2B","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [340 - 430],UF [70 - 90],NO,SI
DETENIDO,RVC,Trinidad Ramirez,La Cisterna,Trinidad Ramírez 24,Inmediata,,B,"4,00%","2,00%",0% a la promesa / 4% a la escritura,NO,"0,00%","10,00%","10,00%","10,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF2.755,$0,$180.453,$0,$100.000,N/A,NO,"Beneficios no acumulables entre si: 24 dividendos (si va ocn esta promoción no puede llevar descuento)

Credito directo 60 cuotas (si va con 24 dividendos el CDI maximo es de 24 cuotas)
Knockitt Se puede presentar al cliente como pago de 60 cuotas)

Bodega Gratis","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",No queda stock,UF 75 Pocas unidades,NO,NO
OK,Santolaya,Limit,Macúl,Mayor Abe 3090,2S2026,Santolaya,A+,"3,00%","1,50%",N/A,SI,"10,00%","10,00%","0,00%","0,00%",9,9,"4,00%",0,"0,00%",18,"6,00%",UF3.212,$561.029,$0,$420.772,$100.000,N/A,SI,"10% bono pie
2% de descuento

4% en cuotas antes de entrega a través de Forpay. 
6% en hasta 18 cuotas con TC a través de Transbank

12% de descuento maximo sin bono pie","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [340 - 390],UF 80,NO,NO
OK,Santolaya / Urmeneta,Garden Macul / Santolaya,Macúl,Macul 2320,Inmediata,,A+,"5,00%","2,50%","4% a la promesa, 1% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 5% a la escritura)",Si,"10,00%","10,00%","0,00%","0,00%",60,0,"0,00%",60,"5,00%",0,"0,00%",UF4.863,$0,$159.263,$0,$100.000,N/A,SI,"12%dcto máximo
10% bono pie (Cuesta un 10%dcto)
10% TC
CREDITU: 5% RESTA 2% DESCTO  // 10% RESTA 4% DESCTO

Proyecto cargado con:
10% bono pie
10% creditú

Bodega solo para:
3D2B

Estacionamiento: Obligatorio para todas las tipologías","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [360],UF [60],NO,NO
OK,Santolaya / Urmeneta,Lincoyan,Ñuñoa,Lincoyan 1001,Inmediata,Santolaya,A+,"5,00%","2,50%","4% a la promesa, 1% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 5% a la escritura)",SI,"10,00%","10,00%","0,00%","1,00%",60,0,"0,00%",60,"10,00%",0,"0,00%",UF4.400,$0,$288.200,$0,$100.000,N/A,SI,"Descuento máximo 15%
10% Bono Pie (Cuesta 10%dcto)
10% Cuotas Creditu

CREDITU: 5% RESTA 2% DESCTO  // 10% RESTA 4% DESCTO

Proyecto cargado con:
10% bono pie y 10% creditú

Estacionamiento:
Obligatorio para todas las tipologías

Bodega:
Opcional para 1D+1B y 1,5D+2B
Obligatorio para: 1,5D+2B 2S
2D+2B
2D+2B 2S
2D+2B L

","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [350 - 400],UF 80,NO,NO
OK,Santolaya / Urmeneta,NeoFlorida 3,La Florida,Alonso de ercilla 7698,Inmediata,Santolaya,A+,"5,00%","2,50%","4% a la promesa, 1% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 5% a la escritura)",SI,"15,00%","5,00%","0,00%","3,00%",60,0,"0,00%",60,"5,00%",0,"0,00%",UF3.063,$0,$100.297,$0,$100.000,N/A,SI,"Descuento máximo 20%
(1D+1B 15% dcto máximo)

15% BP (Cuesta un 15% dcto)
5% creditú (Cuesta un 2%dcto)

Estacionamiento:
Opcional para 1D+1B y 2D+1B
Obligatorio para:
2D+2B 2S
2D+2B
3D+2B

Bodega:
Obligatoria para toda tipología","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [420 - 500],UF 100,NO,NO
OK,Santolaya / Urmeneta,NS440 Suecia,Providencia,Suecia 440,inmediata,Santolaya,A+,"5,00%","2,50%","4% a la promesa, 1% a la Escritura (si el cliente va con pie CERO, 0% a la promesa y el 5% a la escritura)",SI,"5,00%","10,00%","0,00%","0,00%",60,0,"0,00%",60,"5,00%",18,"10,00%",UF7.239,$0,$237.077,$1.580.515,$100.000,N/A,SI,"Descuento máximo 12%
5% Bono pie (consume 5% dcto)
5% en 60 cuotas creditú (cuesta 2%dcto)
10% TC Trasbank 18 cuotas

Estacionamientos: Obligatorios para todas la unidades
Bodegas: Obligatorio para todas las unidades","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [400 - 500],UF [90 - 160],NO,NO
OK,Santolaya / Urmeneta,Seminario,Ñuñoa,Seminario 775,2S2027,Santolaya,A+,"3,00%","1,50%",N/A,SI,"10,00%","10,00%","0,00%","2,00%",38,20,"5,60%",18,"4,40%",0,"0,00%",UF3.001,$330.242,$288.307,$0,$100.000,N/A,SI,"12%dcto máximo
10% Bono Pie (consume 10%dcto)

PLAN ESPECIAL DE PAGO 10% EN 39 CUOTAS - LAS PRIMERAS 21 CUOTAS CON TOKU + 18 C/TC A LA ESCRITURA  + 10% 24D + 80% CREDITO","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",UF [390 - 430],UF 80,NO,NO
OK,Santolaya / Urmeneta,Status,Santiago,Arturo Prat 376,Inmediata,,A+,"5,00%","2,50%","4% a la promesa / 1% a la escritura
si la operacion va con pie 0, es un 5% a la escritura",SI,"10,00%","10,00%","0,00%","6,00%",0,0,"0,00%",0,"0,00%",0,"0,00%",UF2.725,$0,$0,$0,$100.000,N/A,SI,"Dcto máximo 23%
(2D+2B KC descuento máximo de 28%)
15% bono pie (Cuesta 15% dcto)
CREDITU: 5% RESTA 2% DESCTO  // 10% RESTA 4% DESCTO

Proyecto cargado con:
15% BP y 5% creditú

Estacionamiento:
No disponible para Studio
Obligatorio para toda unidad

Bodega oblitaoria para toda unidad","Nombre: Capital Inteligente SpA. 
Rut: 76.733.268-8 
Banco: Banco Crédito e Inversiones 
Tipo: Cuenta Corriente 
N°Cuenta: 21692548 
Email: Reservas@capitalinteligente.cl 
Asunto: Reserva + dpto. N° + proyecto

ó reserva mediante WEBPAY
https://www.webpay.cl/company/27745 ",,,NO,NO
